Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen
1802 Roasters,Los Angeles,Italiano,Económico,$,+1 562-650-4514,"1206 Cypress Ave, Los Angeles, CA 90065-1113",0 reviews,No disponible,No disponible,No disponible,contact@1802roasters.com,No disponible
786 Degrees,Los Angeles,Italiano,Económico,$,+1 818-939-6566,"8879 Laurel Canyon Blvd Unit - A, Los Angeles, CA 91352-2959",26 reviews,5.0,http://forpizzaaddictsonly.square.site/,https://forpizzaaddictsonly.square.site/,786degrees@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/19/83/3b/ce/bbq-chicken.jpg
800 Degrees,Los Angeles,Italiano,Económico,$,+1 310-443-1911,"10889 Lindbrook Dr, Los Angeles, CA 90024-3027",182 reviews,4.0,https://800degrees.com/,https://800degrees.com/menu,guestrelations@800degrees.com,https://media-cdn.tripadvisor.com/media/photo-s/08/5e/6e/60/nice-flavours.jpg
Ameci Pizza & Pasta,Los Angeles,Italiano,Económico,$,+1 818-846-5200,"244 N Glenoaks Blvd, Burbank, CA 91502-1205",8 reviews,4.5,http://www.amecipizzaandpasta.com/,http://www.amecipizzaandpasta.com/menu/appetizers/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/c7/ce/3c/meat-lovers.jpg
Andre's Italian Restaurant,Los Angeles,Italiano,Económico,$,+1 323-935-1246,"6332 W 3rd St, Los Angeles, CA 90036-3155",41 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/02/b1/9d/fa/filename-andre-s-service.jpg
Andre's Pizza,Los Angeles,Italiano,Económico,$,+1 323-462-1152,"7038 Hollywood Blvd, Los Angeles, CA 90028-6003",25 reviews,3.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/c0/56/89/20170323-135859-largejpg.jpg
Art's Subs,Los Angeles,Italiano,Económico,$,+1 818-883-5404,"20855 Ventura Blvd Suite 9, Los Angeles, CA 91364-2300",0 reviews,No disponible,http://www.artssubs.com/,http://www.artssubs.com/menu/,info@artssubs.com,No disponible
Asparagus Pizza,Los Angeles,Italiano,Económico,$,+1 323-962-3036,"1809 N Cahuenga Blvd, Los Angeles, CA 90028-5001",18 reviews,4.0,http://www.orderasparaguspizza.com/,No disponible,asparaguspizza@gmail.com,No disponible
Bacio di Latte,Los Angeles,Italiano,Económico,$,+1 310-272-7800,"10250 Santa Monica Blvd Century City Mall, Los Angeles, CA 90067",7 reviews,4.5,http://baciodilatte-usa.com/,No disponible,hello@baciodilatte.us,https://media-cdn.tripadvisor.com/media/photo-s/16/9b/80/8c/welcome-at-bacio-di-latte.jpg
Bad Boys Pizza,Los Angeles,Italiano,Económico,$,+1 818-998-3384,"8624 Balboa Blvd, Los Angeles, CA 91325-3505",4 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d5108698-Reviews-Bad_Boys_Pizza-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/1a/8f/ec/bad-boys-pizza.jpg
Baklava Factory,Los Angeles,Mediterráneo,Económico,$,+1 818-414-4413,"17540 Ventura Blvd, Los Angeles, CA 91316-3835",5 reviews,4.5,http://www.baklavafactory.com/,No disponible,bforders@yahoo.com,https://media-cdn.tripadvisor.com/media/photo-s/09/86/f2/b0/baklava-factory.jpg
Bella Pita,Los Angeles,Mediterráneo,Económico,$,+1 310-209-1050,"960 Gayley Ave, Los Angeles, CA 90024-2806",8 reviews,4.5,No disponible,No disponible,DC@FranchiseMarketingSystems.com,No disponible
Big Mama's & Papa's Pizzeria,Los Angeles,Italiano,Económico,$,+1 818-841-8844,"321 E Alameda Ave Ste A, Burbank, CA 91502-3318",14 reviews,4.0,https://www.facebook.com/bmppburbank/,No disponible,socialmediaburbank@bigmamaspizza.com,https://media-cdn.tripadvisor.com/media/photo-s/02/62/7d/f8/big-mama-s-papa-s-pizzeria.jpg
Big Mama's and Papa's Pizzeria,Los Angeles,Italiano,Económico,$,+1 323-661-1122,"5051 Hollywood Blvd, Los Angeles, CA 90027-6109",14 reviews,4.0,http://bigmamaspizza.com/,http://bigmamaspizza.com/menu/pizzas/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0a/d3/1a/23/yummy.jpg
Bistro On the Blvd,Los Angeles,Francés,Económico,$,+1 213-380-9707,"3424 Wilshire Blvd, Los Angeles, CA 90010-2263",5 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/56/fe/93/bistro-outside-plants.jpg
Brooklyn Pizza,Los Angeles,Italiano,Económico,$,+1 310-550-9992,"9228 W Pico Blvd, Los Angeles, CA 90035-1319",11 reviews,3.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/93/89/ed/brooklyn-pizza.jpg
California Pita,Los Angeles,Mediterráneo,Económico,$,+1 310-777-8871,"242 S Beverly Dr, Beverly Hills, CA 90212-3805",9 reviews,3.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32070-d4404581-Reviews-California_Pita-Beverly_Hills_California.html#,info@californiapita.com,https://media-cdn.tripadvisor.com/media/photo-s/22/ac/4d/2a/wild-salmon-salad.jpg
