Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen
A Simple Eggstaurant,Miami,Francesa,Económico,€,+1 561-774-9413,"1516 Washington Ave, Miami Beach, FL 33139-7801",17 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1c/76/f5/b5/20201226-071410-largejpg.jpg
Al Basha Grill,Miami,Mediterránea,Económico,€,+1 786-216-7114,"1533 Washington Ave, Miami Beach, FL 33139-7802",68 opiniones,"4,5",http://www.albashagrillmiami.com/,http://albashagrillmiami.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/0b/55/66/55/al-basha-grill-entries.jpg
Aladdin Market & Grill,Miami,Mediterránea,Económico,€,+1 786-857-6879,"7600 SW 117th Ave, Miami, FL 33183-3822",14 opiniones,"5,0",http://www.aladdinmarketgrill.com/,http://www.aladdinmarketgrill.com/menu.html,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/7f/38/ca/restaurant-front-entrance.jpg
Arch CafA(C),Miami,Francesa,Económico,€,+1 305-577-6003,"1395 Brickell Ave 140 2nd Floor inside Arch Building, Miami, FL 33131-3353",1 opinión,"5,0",http://brickellarchcafe.com/,No disponible,pmonin92@brickellarchcafe.com,No disponible
Arepas & Sand Wish,Miami,Española,Económico,€,+1 305-763-8134,"1522 Washington Ave, Miami Beach, FL 33139-7801",11 opiniones,"5,0",http://arepassandwish.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/72/4b/45/meilleures-arepa-de-miami.jpg
Blocks Pizza Deli,Miami,Italiana,Económico,€,+1 305-702-1742,"1447 Washington Ave, Miami Beach, FL 33139-4111",708 opiniones,"4,5",No disponible,No disponible,info@blockspizza.com,https://media-cdn.tripadvisor.com/media/photo-s/0b/d9/48/cd/photo1jpg.jpg
Burger King,Miami,Italiana,Económico,€,+1 305-264-7251,"7955 West Flagler St, Miami, FL 33144",9 opiniones,"4,0",No disponible,No disponible,russ@phoenixorganization.com,https://media-cdn.tripadvisor.com/media/photo-s/08/26/8d/2d/photo0jpg.jpg
Cafe Croissant,Miami,Francesa,Económico,€,+1 786-717-7212,"1684 Coral Way, Miami, FL 33145-2858",18 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/10/43/45/9c/img-20170813-143003-largejpg.jpg
Cicis,Miami,Italiana,Económico,€,+1 305-274-0530,"7572 Sw 117Th Ave, Miami, FL 33183",39 opiniones,"3,5",No disponible,No disponible,store846@cicispizza.com,https://media-cdn.tripadvisor.com/media/photo-s/0d/f0/e6/0b/20161222-142151-largejpg.jpg
Dolce venezia,Miami,Italiana,Económico,€,+1 305-456-1577,"13815 SW 88th St Kendall plaza, Miami, FL 33186-1303",2 opiniones,"5,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/8d/ad/68/24-gelato-flavors.jpg
Domaselo,Miami,Francesa,Económico,€,+1 305-306-6642,"2691 SW 11th Street, Miami, FL 33135",0 opiniones,No disponible,No disponible,No disponible,order@domaselo.com,https://media-cdn.tripadvisor.com/media/photo-p/1a/35/e4/24/getlstd-property-photo.jpg
East Side Pizza,Miami,Italiana,Económico,€,+1 305-758-5351,"731 NE 79th St, Miami, FL 33138-4711",31 opiniones,"3,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/4e/5a/83/20160730-164541-largejpg.jpg
Eat Greek - Brickell,Miami,Mediterránea,Económico,€,+1 305-374-4771,"1060 Brickell Ave, Miami, FL 33131-3915",19 opiniones,"4,0",http://eatgreeksouvlakibrickell.eat24hour.com/location,http://eatgreeksouvlakibrickell.eat24hour.com/location#menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/c2/16/21/welcome-eat-greek-brickell.jpg
Elia Mediterranean Products,Miami,Mediterránea,Económico,€,+1 786-310-7619,"196 NW 36th St, Miami, FL 33127-3108",0 opiniones,No disponible,http://eliacafe.com/,https://eliaproducts.com/food-menu,eliamproducts@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/46/c8/3a/who-can-only-get-one.jpg
Ferrari's,Miami,Italiana,Económico,€,+1 305-378-4795,"15761 SW 152nd St, Miami, FL 33187-5417",24 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/73/c0/dd/20151107-134651-largejpg.jpg
Fritanga Cana Brava,Miami,Española,Económico,€,+1 305-643-0054,"2795 NW 7th St, Miami, FL 33125-4334",27 opiniones,"4,5",https://www.facebook.com/pages/Fritanga-Cana-Brava/150581755013998,https://www.tripadvisor.es/Restaurant_Review-g34438-d4196486-Reviews-Fritanga_Cana_Brava-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/bf/f7/98/carne-asada-with-gallopinto.jpg
Grafa Pizza&Pasta,Miami,Italiana,Económico,€,+1 305-397-8975,"1357 Washington Ave, Miami Beach, FL 33139-4211",343 opiniones,"5,0",No disponible,No disponible,grafapizza@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/19/f8/ee/00/grafa-pizza-pasta.jpg
Kombi Espresso Bar,Miami,Francesa,Económico,€,+1 786-446-7336,"1700 SW 2nd Ave, Miami, FL 33129-1194",1 opinión,"5,0",No disponible,No disponible,info@kombiespressobar.com,No disponible
La Sandwicherie Wynwood,Miami,Francesa,Económico,€,+1 786-409-2390,"169 NW 23rd Street, Miami, FL 33127-4490",13 opiniones,"5,0",http://lasandwicherie.com/,http://lasandwicherie.com/,sandwicheriewynwood@icloud.com,https://media-cdn.tripadvisor.com/media/photo-s/19/57/86/27/interior-wall-mural.jpg
Lenny's Pizza,Miami,Italiana,Económico,€,+1 305-397-8395,"544 Arthur Godfrey Rd, Miami Beach, FL 33140-3510",20 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/12/04/dc/c6/restaurant-pizza-slice.jpg
Luna Pasta,Miami,Italiana,Económico,€,+1 305-956-2431,"6815 Biscayne Blvd Ste 101, Miami, FL 33138-6292",19 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/14/be/15/0b/dulce-de-leche-cheesecake.jpg
Mario The Baker,Miami,Italiana,Económico,€,+1 305-466-1777,"18679 W Dixie Hwy, Miami, FL 33180-2602",11 opiniones,"3,0",http://www.mariothebaker.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/ba/1f/5d/mario-the-baker-to-go.jpg
Meet'n Cheese,Miami,Italiana,Económico,€,+1 786-546-1872,"8300 NE 2nd Ave, Miami, FL 33138-3821",10 opiniones,"5,0",No disponible,No disponible,meetncheese@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/1a/a1/02/79/medium-charcuterie-board.jpg
Miami Mediterranean Cuisine,Miami,Mediterránea,Económico,€,+1 305-674-8384,"209 11th St, Miami Beach, FL 33139-5006",101 opiniones,"4,5",http://www.miamimediterranean.com/,http://www.miamimediterranean.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/05/09/83/41/getlstd-property-photo.jpg
