,Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen,latitude,longitude
0,1802 Roasters,Los Angeles,Alemán,Económico,$,+1 562-650-4514,"1206 Cypress Ave, Los Angeles, CA 90065-1113",0 reviews,0.0,No disponible,No disponible,contact@1802roasters.com,No disponible,34.095339,-118.228202
1,786 Degrees,Los Angeles,Alemán,Económico,$,+1 818-939-6566,"8879 Laurel Canyon Blvd Unit - A, Los Angeles, CA 91352-2959",26 reviews,1.0,http://forpizzaaddictsonly.square.site/,https://forpizzaaddictsonly.square.site/,786degrees@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/19/83/3b/ce/bbq-chicken.jpg,None,None
2,800 Degrees,Los Angeles,Alemán,Económico,$,+1 310-443-1911,"10889 Lindbrook Dr, Los Angeles, CA 90024-3027",182 reviews,1.0,https://800degrees.com/,https://800degrees.com/menu,guestrelations@800degrees.com,https://media-cdn.tripadvisor.com/media/photo-s/08/5e/6e/60/nice-flavours.jpg,34.059813,-118.44424135714286
3,Ameci Pizza & Pasta,Los Angeles,Alemán,Económico,$,+1 818-846-5200,"244 N Glenoaks Blvd, Burbank, CA 91502-1205",8 reviews,2.5,http://www.amecipizzaandpasta.com/,http://www.amecipizzaandpasta.com/menu/appetizers/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/c7/ce/3c/meat-lovers.jpg,34.2049665,-118.3378016
4,Andre's Italian Restaurant,Los Angeles,Belga,Económico,$,+1 323-935-1246,"6332 W 3rd St, Los Angeles, CA 90036-3155",41 reviews,2.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/02/b1/9d/fa/filename-andre-s-service.jpg,34.0712425,-118.36004199999999
5,Andre's Pizza,Los Angeles,Belga,Económico,$,+1 323-462-1152,"7038 Hollywood Blvd, Los Angeles, CA 90028-6003",25 reviews,2.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/c0/56/89/20170323-135859-largejpg.jpg,34.1013461,-118.3428997
6,Art's Subs,Los Angeles,Belga,Económico,$,+1 818-883-5404,"20855 Ventura Blvd Suite 9, Los Angeles, CA 91364-2300",0 reviews,2.0,http://www.artssubs.com/,http://www.artssubs.com/menu/,info@artssubs.com,No disponible,None,None
7,Asparagus Pizza,Los Angeles,Español,Económico,$,+1 323-962-3036,"1809 N Cahuenga Blvd, Los Angeles, CA 90028-5001",18 reviews,2.0,http://www.orderasparaguspizza.com/,No disponible,asparaguspizza@gmail.com,No disponible,34.10412945454546,-118.32989609090909
8,Bacio di Latte,Los Angeles,Español,Económico,$,+1 310-272-7800,"10250 Santa Monica Blvd Century City Mall, Los Angeles, CA 90067",7 reviews,2.0,http://baciodilatte-usa.com/,No disponible,hello@baciodilatte.us,https://media-cdn.tripadvisor.com/media/photo-s/16/9b/80/8c/welcome-at-bacio-di-latte.jpg,None,None
9,Bad Boys Pizza,Los Angeles,Español,Económico,$,+1 818-998-3384,"8624 Balboa Blvd, Los Angeles, CA 91325-3505",4 reviews,2.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d5108698-Reviews-Bad_Boys_Pizza-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/1a/8f/ec/bad-boys-pizza.jpg,34.227191999999995,-118.50251332653062
10,Baklava Factory,Los Angeles,Español,Económico,$,+1 818-414-4413,"17540 Ventura Blvd, Los Angeles, CA 91316-3835",5 reviews,2.0,http://www.baklavafactory.com/,No disponible,bforders@yahoo.com,https://media-cdn.tripadvisor.com/media/photo-s/09/86/f2/b0/baklava-factory.jpg,34.161559161405414,-118.51519501995404
11,Bella Pita,Los Angeles,Español,Económico,$,+1 310-209-1050,"960 Gayley Ave, Los Angeles, CA 90024-2806",8 reviews,2.0,No disponible,No disponible,DC@FranchiseMarketingSystems.com,No disponible,34.0628209,-118.4481354
12,Big Mama's & Papa's Pizzeria,Los Angeles,Español,Económico,$,+1 818-841-8844,"321 E Alameda Ave Ste A, Burbank, CA 91502-3318",14 reviews,2.0,https://www.facebook.com/bmppburbank/,No disponible,socialmediaburbank@bigmamaspizza.com,https://media-cdn.tripadvisor.com/media/photo-s/02/62/7d/f8/big-mama-s-papa-s-pizzeria.jpg,None,None
13,Big Mama's and Papa's Pizzeria,Los Angeles,Español,Económico,$,+1 323-661-1122,"5051 Hollywood Blvd, Los Angeles, CA 90027-6109",14 reviews,2.0,http://bigmamaspizza.com/,http://bigmamaspizza.com/menu/pizzas/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0a/d3/1a/23/yummy.jpg,34.101842,-118.299589
14,Bistro On the Blvd,Los Angeles,Español,Económico,$,+1 213-380-9707,"3424 Wilshire Blvd, Los Angeles, CA 90010-2263",5 reviews,2.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/56/fe/93/bistro-outside-plants.jpg,34.06167146153846,-118.2984953076923
